Rank,Location,Population,% of World,Date
0,World,8119000000.00,100%,01-Jul-24
1,China,1409670000.00,17.30%,31-Dec-23
2,India,1402737000.00,17.20%,01-Jul-24
3,United States,340110988.00,4.20%,01-Jul-24
4,Indonesia,282477584.00,3.50%,30-Jun-24
5,Pakistan,241499431.00,3.00%,01-Mar-23
6,Nigeria,223800000.00,2.70%,01-Jul-23
7,Brazil,212583750.00,2.60%,01-Jul-24
8,Bangladesh,169828911.00,2.10%,14-Jun-22
9,Russia,146150789.00,1.80%,01-Jan-24
10,Mexico,130154247.00,1.60%,30-Sep-24
11,Japan,123740000.00,1.50%,01-Dec-24
12,Philippines,114163719.00,1.40%,01-Jul-24
13,Ethiopia,109499000.00,1.30%,01-Jul-24
14,Democratic Republic of the Congo,109276000.00,1.30%,01-Jul-24
15,Egypt,105914499.00,1.30%,01-Jan-24
16,Vietnam,101300000.00,1.20%,01-Jul-24
17,Iran,85961000.00,1.10%,20-Mar-24
18,Turkey,85372377.00,1.00%,31-Dec-23
19,Germany,84746132.00,1.00%,30-Sep-24
20,France,68567000.00,0.80%,01-Dec-24
21,United Kingdom,68265209.00,0.80%,01-Jul-23
22,Thailand,65960724.00,0.80%,01-Nov-24
23,South Africa,63015904.00,0.80%,30-Jul-24
24,Tanzania,61741120.00,0.80%,23-Aug-22
25,Italy,58958131.00,0.70%,31-Oct-24
26,Colombia,52695952.00,0.60%,01-Jan-24
27,Kenya,52428290.00,0.60%,01-Jan-24
28,Myanmar,51316756.00,0.60%,15-Oct-24
29,South Korea,51248233.00,0.60%,30-Sep-24
30,Sudan,50448963.00,0.60%,01-Jul-24
31,Spain,48946035.00,0.60%,01-Oct-24
32,Argentina,47067441.00,0.60%,01-Jul-24
33,Algeria,46700000.00,0.60%,01-Jan-24
34,Uganda,45935046.00,0.60%,10-May-24
35,Iraq,44414800.00,0.50%,01-Jul-24
36,Canada,41465298.00,0.50%,01-Oct-24
37,Poland,37519000.00,0.50%,31-Oct-24
38,Uzbekistan,37355356.00,0.50%,01-Oct-24
39,Morocco,36828330.00,0.50%,01-Sep-24
40,Afghanistan,35695527.00,0.40%,01-Jul-24
41,Angola,35121734.00,0.40%,01-Jun-24
